ID,Title,Duration(s),Language,Filename,UploadedBy,CreatedAt
"1e93927b-44ff-4505-ae3d-4b62c4818b19","Kluci z Prahy – Akorát si asi dovedete představit, že",5.80,"Czech","1777497749713-4nhilbgzui5-cs_kluci_z_prahy_00_02.mp3","03726333-cdfe-4aeb-846c-f746fb645e4d","2026-04-29T21:22:30.112655+00:00"
"94c3267a-37dd-445f-b517-240f0439ab5c","Kluci z Prahy – Tady je ten gml a na",5.24,"Czech","1777497749602-7ix8tfzuy5s-cs_kluci_z_prahy_00_01.mp3","03726333-cdfe-4aeb-846c-f746fb645e4d","2026-04-29T21:22:29.92606+00:00"
"20c6e1f2-7be2-45b8-8808-ed442764cc9f","Kluci z Prahy – Tak mně na tom přijde kouzelný",5.94,"Czech","1777497748737-s53q4cph3p-cs_kluci_z_prahy_00_03.mp3","03726333-cdfe-4aeb-846c-f746fb645e4d","2026-04-29T21:22:29.260223+00:00"
"be00977a-2536-4f9a-8e30-962ac0d44071","Kluci z Prahy – Všechny tyto tři cesty vás zavedou",6.39,"Czech","1777497748686-zhjr4hvxz78-cs_kluci_z_prahy_00_04.mp3","03726333-cdfe-4aeb-846c-f746fb645e4d","2026-04-29T21:22:28.989244+00:00"
"2e3ade80-33e8-4cd2-b29d-c1d53b8bc31b","Days and Words – I'm not saying that anyone learning",4.86,"English","1777497748012-0tw2kton43ym-en_days_and_words_01_02.mp3","03726333-cdfe-4aeb-846c-f746fb645e4d","2026-04-29T21:22:28.339567+00:00"
